Date,High,Low,Open,Close,Volume,Adj Close
2020-12-01,9.539999961853027,9.0600004196167,9.0600004196167,9.520000457763672,11209200.0,9.520000457763672
2020-12-02,9.399999618530273,9.149999618530273,9.34000015258789,9.229999542236328,7562700.0,9.229999542236328
2020-12-03,9.1899995803833,8.899999618530273,9.180000305175781,9.029999732971191,5511300.0,9.029999732971191
2020-12-04,8.979999542236328,8.680000305175781,8.850000381469727,8.699999809265137,6328300.0,8.699999809265137
2020-12-07,9.229999542236328,8.600000381469727,8.619999885559082,9.119999885559082,11263900.0,9.119999885559082
2020-12-08,9.380000114440918,9.069999694824219,9.329999923706055,9.199999809265137,4136100.0,9.199999809265137
2020-12-09,9.069999694824219,8.609999656677246,8.930000305175781,8.770000457763672,7306100.0,8.770000457763672
2020-12-10,9.1899995803833,8.859999656677246,9.069999694824219,8.930000305175781,6741000.0,8.930000305175781
2020-12-11,9.039999961853027,8.779999732971191,8.989999771118164,8.800000190734863,4306300.0,8.800000190734863
2020-12-14,8.960000038146973,8.619999885559082,8.819999694824219,8.65999984741211,4727100.0,8.65999984741211
2020-12-15,9.220000267028809,8.989999771118164,9.010000228881836,9.1899995803833,5333700.0,9.1899995803833
2020-12-16,9.199999809265137,8.829999923706055,9.199999809265137,9.180000305175781,6393400.0,9.180000305175781
2020-12-17,9.859999656677246,9.520000457763672,9.59000015258789,9.770000457763672,9285400.0,9.770000457763672
2020-12-18,10.010000228881836,9.630000114440918,9.989999771118164,9.6899995803833,14303400.0,9.6899995803833
2020-12-21,9.770000457763672,9.479999542236328,9.670000076293945,9.569999694824219,4797000.0,9.569999694824219
2020-12-22,9.550000190734863,9.140000343322754,9.520000457763672,9.260000228881836,4714600.0,9.260000228881836
