Symbols,ClosePerc
IH,14.48631351
GNT,8.581156442
CEA,8.557586154
FOR,7.515341531
BSBR,6.915143545
MUFG,6.486447623
SNPR,6.440728349
UBS,5.953192847
HBI,5.050412366
JSD,4.985991902
